what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400522845910
started,bundle,org.eclipse.pde.build,3.6.1.R36x_v20100823,"org.eclipse.pde.build",1400522846068
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400522863328
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400522863347
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1400522868139
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400522870609
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1400522872055
executed,command,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1400522873278
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1400522874239
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1400522874282
started,bundle,de.ikv.medini.util.eclipse.core,1.0.0,"de.ikv.medini.util.eclipse.core",1400522874288
started,bundle,de.ikv.medini.qvt.ui,1.2.3,"de.ikv.medini.qvt.ui",1400522874291
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400522874640
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400522884409
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400522948632
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400522950869
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400522965462
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400522966029
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400522997679
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400522999429
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400523009656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400523012468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400523083977
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400523085813
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400523117712
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400523119509
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400523131726
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400523132981
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400523237064
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400523238813
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525791688
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1400525795973
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1400525800258
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1400525801267
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525804661
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525823408
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1400525830302
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1400525832010
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525839242
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525840626
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1400525841848
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1400525843773
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1400525844746
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400525845881
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525849962
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525855492
started,bundle,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20100226-2359,"org.eclipse.gmf.bridge.ui.dashboard",1400525855505
opened,view,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20100226-2359,"org.eclipse.gmf.bridge.ui.dashboard.DashboardPart",1400525855572
activated,view,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20100226-2359,"org.eclipse.gmf.bridge.ui.dashboard.DashboardPart",1400525855612
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1400525855612
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1400525855612
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525862053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525865137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525866196
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525875760
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400525875768
activated,view,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20100226-2359,"org.eclipse.gmf.bridge.ui.dashboard.DashboardPart",1400525883313
started,bundle,org.eclipse.gmf.common,1.2.0.v20100226-2359,"org.eclipse.gmf.common",1400525883317
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525883347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525890379
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525891901
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525898296
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400525898306
activated,view,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20100226-2359,"org.eclipse.gmf.bridge.ui.dashboard.DashboardPart",1400525899609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525899631
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525902099
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525902829
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400525910447
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400525910458
