what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400687606550
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1400687608710
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687609950
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687614670
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687632710
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687648030
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687662720
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687673280
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1400687688760
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687690440
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687694290
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1400687698280
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687699800
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687702200
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687706540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687706590
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400687706610
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1400687715760
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1400687723800
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1400687728370
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1400687745540
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1400687752720
activated,view,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20100226-2359,"org.eclipse.gmf.bridge.ui.dashboard.DashboardPart",1400687754120
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400687755400
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1400687756640
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1400687758360
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1400687762280
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687808400
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687814980
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687816610
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687816660
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400687816660
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1400687817680
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687819100
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687820410
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400687824800
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1400687826440
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1400687827340
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1400687827380
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1400687832780
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400687836730
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1400687837070
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400687843310
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400687854460
started,bundle,org.eclipse.gmf.xpand.migration,1.0.100.v20100309-2359,"org.eclipse.gmf.xpand.migration",1400687855950
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1400687856900
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687857160
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687857190
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1400687858460
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687858720
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687860932
opened,editor,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.manifestEditor",1400687864762
activated,editor,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.manifestEditor",1400687864852
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1400687868852
closed,editor,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.manifestEditor",1400687868852
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400687870492
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1400687873372
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1400687873392
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400687876042
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1400687878472
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1400687882802
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1400687898932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687901402
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687903012
executed,command,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1400687903022
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1400687906632
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1400687907012
started,bundle,de.ikv.medini.util.eclipse.core,1.0.0,"de.ikv.medini.util.eclipse.core",1400687907022
started,bundle,de.ikv.medini.qvt.ui,1.2.3,"de.ikv.medini.qvt.ui",1400687907022
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687907502
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400687907812
