what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603303844
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1400603307392
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603308010
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603312476
activated,editor,UML.editor,1.0.0,"umlMM.presentation.UmlMMEditorID",1400603313009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603314310
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603314633
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400603314642
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1400603340519
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603344166
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603344202
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400603344208
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603346305
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603370748
activated,view,org.eclipse.emf.cdo.ui,3.0.0.v20100618-1453,"org.eclipse.emf.cdo.ui.CDOSessionsView",1400603370750
activated,editor,UML.editor,1.0.0,"umlMM.presentation.UmlMMEditorID",1400603374688
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1400603378919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603385538
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603386468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603387914
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603388804
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603390047
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603390113
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400603390120
activated,editor,UML.editor,1.0.0,"umlMM.presentation.UmlMMEditorID",1400603391713
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1400603395927
activated,editor,UML.editor,1.0.0,"umlMM.presentation.UmlMMEditorID",1400603404128
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603411119
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603422676
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603425405
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603425429
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400603425435
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603430432
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603454331
activated,view,org.eclipse.emf.cdo.ui,3.0.0.v20100618-1453,"org.eclipse.emf.cdo.ui.CDOSessionsView",1400603454341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603457809
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603524803
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400603533100
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1400603535129
opened,view,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.pde.runtime.LogView",1400603535353
activated,view,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.pde.runtime.LogView",1400603535366
activated,editor,UML.editor,1.0.0,"umlMM.presentation.UmlMMEditorID",1400603539473
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603541399
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603542789
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400603542955
stopped,bundle,org.eclipse.xtext.xtext.ui,1.0.1.v201008251220,"org.eclipse.xtext.xtext.ui",1400603543671
stopped,bundle,org.eclipse.emf.mwe2.language.ui,1.0.1.v201008251317,"org.eclipse.emf.mwe2.language.ui",1400603543671
stopped,bundle,org.eclipse.ocl.examples.xtext.completeocl.ui,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.completeocl.ui",1400603543671
stopped,bundle,org.eclipse.ocl.examples.xtext.oclinecore.ui,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.oclinecore.ui",1400603543671
stopped,bundle,org.eclipse.ocl.examples.xtext.essentialocl.ui,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.essentialocl.ui",1400603543671
stopped,bundle,org.eclipse.ocl.examples.xtext.oclstdlib.ui,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.oclstdlib.ui",1400603543671
stopped,bundle,org.eclipse.xtext.xbase.ui,1.0.1.v201008251220,"org.eclipse.xtext.xbase.ui",1400603543671
stopped,bundle,org.eclipse.xtext.common.types.ui,1.0.1.v201008251220,"org.eclipse.xtext.common.types.ui",1400603543671
stopped,bundle,org.eclipse.xtext.ui.ecore,1.0.1.v201008251220,"org.eclipse.xtext.ui.ecore",1400603543671
stopped,bundle,org.eclipse.xtext.ui.shared,1.0.1.v201008251220,"org.eclipse.xtext.ui.shared",1400603543671
stopped,bundle,org.eclipse.xtext.builder,1.0.1.v201008251220,"org.eclipse.xtext.builder",1400603543671
stopped,bundle,org.eclipse.xtext.xbase,1.0.1.v201008251220,"org.eclipse.xtext.xbase",1400603543671
stopped,bundle,org.eclipse.emf.mwe2.language,1.0.1.v201008251317,"org.eclipse.emf.mwe2.language",1400603543671
stopped,bundle,org.eclipse.xtext.ui.junit,1.0.1.v201008251220,"org.eclipse.xtext.ui.junit",1400603543671
stopped,bundle,org.eclipse.xtext.generator,1.0.1.v201008251220,"org.eclipse.xtext.generator",1400603543671
stopped,bundle,org.eclipse.xtext.common.types,1.0.1.v201008251220,"org.eclipse.xtext.common.types",1400603543671
stopped,bundle,org.eclipse.ocl.examples.xtext.completeocl,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.completeocl",1400603543671
stopped,bundle,org.eclipse.ocl.examples.xtext.oclinecore,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.oclinecore",1400603543671
stopped,bundle,org.eclipse.ocl.examples.xtext.essentialocl,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.essentialocl",1400603543671
stopped,bundle,org.eclipse.ocl.examples.xtext.oclstdlib,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.oclstdlib",1400603543671
